"index","przypadki","Arima_lag1","Arima_bc","Arima_auto"
1,1410,2034.27474192016,2241.41226829206,1964.06829728131
2,1541,1673.76811594475,1578.48446368833,1703.53276102701
3,1676,1676.83570054405,988.593956383543,1828.39089175227
4,1833,1384.56459470753,665.417703038728,1950.7413624167
5,335,456.915836775384,710.315522507871,2070.63453705303
6,278,579.53633954013,945.997681784164,2188.11976817897
7,2703,1635.08026093144,1346.59993794093,2303.24541711254
8,2424,1857.08722491905,1491.89833605956,2416.05887387945
9,2504,1461.89691451698,1348.06979344121,2526.60657672058
10,2544,1555.01553656015,1046.86472071331,2634.93403120768
11,2942,1408.79162982491,888.710427812011,2741.08582897519
12,562,701.875261426863,873.471053805654,2845.10566607583
13,523,778.474341149629,1009.44828452191,2947.0363609675
14,4241,1599.20711158525,1172.01593686484,3046.91987213901
