,yhat
117,20801.229280793654
118,21096.434260164453
119,19340.654515066504
120,18584.274809862065
121,13387.549788999067
122,9539.610496305228
123,14860.496803448881
124,17554.899842753624
125,17736.645398676632
126,16168.068625525844
127,15464.691715086587
128,11016.11885221423
129,7755.627343966271
130,12167.30131142279
131,14377.239514276958
132,14474.507040864904
133,13112.439577225125
134,12477.25556969157
135,8770.901629723645
136,6086.937469391107
137,9633.249966227522
138,11391.962352838382
139,11429.858707468062
140,10291.22187290166
141,9751.485848954071
142,6766.644900896725
143,4634.672801508889
144,7441.940606992019
145,8854.035671406808
146,8903.438988881458
147,8019.795483078746
148,7626.476384922223
149,5271.389008857315
150,3602.510969942457
151,5930.635633607646
152,7178.706452905397
153,7324.329605616495
154,6689.908005698251
155,6472.003097476158
156,4533.542786490805
157,3149.325103994558
158,5348.859919445094
159,6646.32793133079
160,6950.840026412304
161,6507.244952857405
162,6456.583417589847
163,4642.366413380558
164,3315.4475379628293
165,5749.100713975948
166,7287.800813391647
167,7770.635708650375
168,7411.343806930033
169,7466.4477593328365
170,5468.05329344786
171,3968.7568275824956
172,6840.278848020101
173,8640.919951874017
174,9177.365153795694
175,8702.181836333284
176,8670.170388997574
177,6285.65454432523
178,4492.188924749455
179,7502.799955570662
180,9203.03047635574
181,9478.47608043191
182,8690.780477962648
183,8946.416417898576
184,6700.94079918762
185,4950.477439923968
186,8448.726096733548
187,10604.919001144382
188,11199.916886723156
189,10560.397880941777
190,10432.612237530084
191,7545.145392234571
192,5380.8168084277095
193,8825.741530523774
194,10732.472325210732
195,11034.332543079003
196,10167.045541266636
197,9857.995736076262
198,7010.624263429819
199,4934.875857666007
200,8098.850302313921
201,9873.404671484352
202,10207.393151340786
203,9491.156882616551
204,9331.97988322898
205,6774.480552693378
206,4894.805474553945
207,8273.226273770399
208,10394.87674400079
209,11096.846768397774
210,10679.432337298229
211,10868.520324458917
212,8190.357747812363
213,6154.959915065763
214,10558.416305233815
215,13526.325214893974
216,14750.158649140934
217,14507.91670298669
218,15010.975968239483
219,11597.008682244184
220,8910.016803416504
221,15026.083926354575
222,19081.96168741913
223,20678.666529420312
224,20213.175145081015
225,20662.173135283556
226,15880.092018395644
227,12086.797477736345
228,19593.471885996376
229,24123.526939729196
230,25420.41942999088
231,24179.72461098408
232,23992.874969609435
233,17957.624399497483
234,13280.373378747361
235,20761.266579323565
236,24775.75493480023
237,25365.552385668474
238,23473.951268744855
239,22701.79116446884
240,16550.82651139011
241,11931.489043521613
242,18413.55230332966
243,21698.95585655431
244,21959.575753101504
245,20115.811029432723
246,19333.149220754272
247,13972.378545755166
248,10012.021574749071
249,15649.394487019652
250,18620.85238512784
251,18166.94039397352
252,16035.106602974074
253,14888.454354208887
254,10300.268054681179
255,7049.853307786793
256,10888.922636799298
257,12678.902020029664
258,12593.002693704455
259,11268.761622036314
260,10632.071665186288
261,7385.754752197848
262,5074.963753037825
263,8114.608087777552
264,9654.687551910432
265,9731.632917534784
266,8798.72546185576
267,8391.706261135545
268,5835.166303925656
269,4008.543757561008
270,6550.8584804376105
271,7886.702445125192
272,8000.497006870548
273,7253.957037061463
274,6659.90364159331
275,4404.684177681895
276,2862.0062342474157
277,4578.986975463195
278,5336.519243254061
279,5199.694603293782
280,4497.299673368433
281,4112.927728419285
282,2655.4648868753493
283,1680.2154483509767
284,2772.7964022532087
285,3265.0633593977545
286,3179.3662709695836
287,2728.19016456184
288,2483.5582595435003
289,1560.7008305885229
290,958.306081708156
291,1636.8436572150608
292,1948.986701309871
293,1895.5114185945686
294,1611.1380409386693
295,1458.0439847678144
296,888.0286211110688
297,526.544868869527
298,934.7441369704908
299,1126.730201356584
300,1094.3427829491525
301,920.6959697571363
302,828.6248172438246
303,488.0254212715724
304,278.90996808131155
305,519.3438110970447
